#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000008l_163       -            369 21317at2157          -            319   1.3e-95  319.0   2.4   1   1   2.3e-95   1.2e-92  309.4   2.4     2   317     1   367     1   368 0.85 # 249314 # 250420 # -1 # ID=8_163;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
ptg000015l_51        -            406 21317at2157          -            319   1.5e-06   26.5   0.1   3   3      0.32   1.6e+02    0.1   0.0   298   312   379   393   373   398 0.85 # 73367 # 74584 # -1 # ID=15_51;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.377
ptg000009l_166       -            611 21317at2157          -            319    0.0041   15.1   0.0   1   2       1.6   7.9e+02   -2.2   0.0    67    84   112   129   111   134 0.87 # 224726 # 226558 # -1 # ID=9_166;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.408
ptg000009l_166       -            611 21317at2157          -            319    0.0041   15.1   0.0   2   2   3.5e-05     0.018   13.0   0.0    62    84   421   443   402   451 0.89 # 224726 # 226558 # -1 # ID=9_166;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.408
ptg000009l_161       -            224 21317at2157          -            319      0.01   13.8   0.0   1   2   4.7e-05     0.023   12.6   0.0    64   105    15    56    13   105 0.75 # 215433 # 216104 # -1 # ID=9_161;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
ptg000009l_161       -            224 21317at2157          -            319      0.01   13.8   0.0   2   2       1.5   7.6e+02   -2.2   0.0    17    45   160   188   150   198 0.72 # 215433 # 216104 # -1 # ID=9_161;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
ptg000008l_682       -            223 21317at2157          -            319     0.011   13.8   0.0   1   1     3e-05     0.015   13.3   0.0    64   118    15    71    13   108 0.75 # 1014641 # 1015309 # -1 # ID=8_682;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.419
ptg000011l_428       -            777 21317at2157          -            319     0.012   13.6   0.3   1   2    0.0012      0.62    8.0   0.0    65    92    40    67    36    86 0.84 # 639756 # 642086 # 1 # ID=11_428;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
ptg000011l_428       -            777 21317at2157          -            319     0.012   13.6   0.3   2   2     0.037        19    3.1   0.1   123   191   592   661   584   672 0.86 # 639756 # 642086 # 1 # ID=11_428;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
ptg000012l_118       -            663 21317at2157          -            319     0.024   12.6   0.5   1   3    0.0026       1.3    6.9   0.0    64    86     7    29     3    34 0.91 # 165664 # 167652 # 1 # ID=12_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000012l_118       -            663 21317at2157          -            319     0.024   12.6   0.5   2   3       0.6     3e+02   -0.9   0.2   193   246   124   177   115   183 0.74 # 165664 # 167652 # 1 # ID=12_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000012l_118       -            663 21317at2157          -            319     0.024   12.6   0.5   3   3       0.1        52    1.6   0.0    60    82   446   468   404   479 0.74 # 165664 # 167652 # 1 # ID=12_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000014l_38        -            211 21317at2157          -            319     0.027   12.4   0.0   1   1   7.8e-05     0.039   11.9   0.0    64   126    41   101    32   117 0.66 # 56204 # 56836 # 1 # ID=14_38;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000014l_116       -           1045 21317at2157          -            319     0.029   12.3   0.0   1   2       0.3   1.5e+02    0.1   0.0    67    86   461   480   459   485 0.88 # 168490 # 171624 # -1 # ID=14_116;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=13bp;gc_cont=0.402
ptg000014l_116       -           1045 21317at2157          -            319     0.029   12.3   0.0   2   2    0.0006       0.3    9.0   0.0    62    85   694   717   661   737 0.85 # 168490 # 171624 # -1 # ID=14_116;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=13bp;gc_cont=0.402
ptg000008l_549       -            641 21317at2157          -            319     0.031   12.3   0.1   1   1   0.00015     0.076   11.0   0.1    65    87   339   361   337   384 0.85 # 786268 # 788190 # -1 # ID=8_549;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
ptg000013l_130       -           1045 21317at2157          -            319     0.032   12.2   0.7   1   3       3.6   1.8e+03   -3.4   0.3   191   232   116   157   102   167 0.67 # 170882 # 174016 # 1 # ID=13_130;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
ptg000013l_130       -           1045 21317at2157          -            319     0.032   12.2   0.7   2   3      0.56   2.8e+02   -0.7   0.0    68    86   462   480   458   484 0.86 # 170882 # 174016 # 1 # ID=13_130;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
ptg000013l_130       -           1045 21317at2157          -            319     0.032   12.2   0.7   3   3   0.00035      0.18    9.8   0.0    49    85   681   717   657   737 0.75 # 170882 # 174016 # 1 # ID=13_130;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-41-2022/Assembly/busco_downloads/lineages/archaea_odb10/hmms/21317at2157.hmm
# Target file:     /home/inf-41-2022/Assembly/Busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/inf-41-2022/Assembly/Busco/auto_lineage/run_archaea_odb10/hmmer_output/21317at2157.out --cpu 1 /home/inf-41-2022/Assembly/busco_downloads/lineages/archaea_odb10/hmms/21317at2157.hmm /home/inf-41-2022/Assembly/Busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/inf-41-2022/Assembly
# Date:            Thu Feb 23 22:59:39 2023
# [ok]
