#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000007l_195       -            527 984717at2            -            224   4.8e-15   54.6   0.5   1   1   3.5e-17   1.5e-14   53.0   0.5     3   100   278   382   276   415 0.72 # 302962 # 304542 # -1 # ID=7_195;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.380
ptg000012l_100       -            370 984717at2            -            224   7.7e-05   21.2   0.1   1   2   2.9e-06    0.0012   17.3   0.0     2    58    68   124    67   161 0.86 # 144316 # 145425 # 1 # ID=12_100;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.437
ptg000012l_100       -            370 984717at2            -            224   7.7e-05   21.2   0.1   2   2      0.16        68    1.8   0.0    88   107   239   260   203   282 0.70 # 144316 # 145425 # 1 # ID=12_100;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.437
ptg000011l_485       -            557 984717at2            -            224   0.00043   18.8   0.1   1   1   2.4e-06     0.001   17.5   0.1     4    23   218   237   215   253 0.79 # 720753 # 722423 # -1 # ID=11_485;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=14bp;gc_cont=0.379
ptg000007l_277       -            368 984717at2            -            224   0.00076   17.9   0.8   1   1   4.7e-06     0.002   16.6   0.8     4    57   155   226   152   233 0.68 # 431410 # 432513 # -1 # ID=7_277;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
ptg000006l_115       -            416 984717at2            -            224     0.006   15.0   1.0   1   2   5.1e-05     0.022   13.2   0.3     2    30    25    53    24   108 0.76 # 170075 # 171322 # 1 # ID=6_115;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ptg000006l_115       -            416 984717at2            -            224     0.006   15.0   1.0   2   2       2.1   8.8e+02   -1.9   0.0   122   136   200   214   153   219 0.60 # 170075 # 171322 # 1 # ID=6_115;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ptg000003l_381       -            648 984717at2            -            224    0.0075   14.7   0.0   1   1   6.9e-05      0.03   12.8   0.0     4    73   172   240   169   300 0.77 # 569877 # 571820 # -1 # ID=3_381;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
ptg000007l_340       -            192 984717at2            -            224     0.016   13.6   0.1   1   2   0.00099      0.42    9.0   0.0     4    21    21    38    18    78 0.89 # 523405 # 523980 # 1 # ID=7_340;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=3bp;gc_cont=0.415
ptg000007l_340       -            192 984717at2            -            224     0.016   13.6   0.1   2   2     0.058        25    3.2   0.0    91   109   123   141    81   158 0.85 # 523405 # 523980 # 1 # ID=7_340;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=3bp;gc_cont=0.415
ptg000008l_122       -            412 984717at2            -            224     0.016   13.6   0.2   1   2   0.00042      0.18   10.2   0.1     2    22     7    27     6    39 0.86 # 179534 # 180769 # 1 # ID=8_122;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
ptg000008l_122       -            412 984717at2            -            224     0.016   13.6   0.2   2   2      0.29   1.2e+02    0.9   0.0    88   108   217   237   189   256 0.78 # 179534 # 180769 # 1 # ID=8_122;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
ptg000010l_110       -            210 984717at2            -            224     0.025   13.0   0.0   1   1   8.8e-05     0.037   12.4   0.0     2    24    19    41    18   148 0.81 # 172793 # 173422 # 1 # ID=10_110;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ptg000010l_146       -            323 984717at2            -            224     0.028   12.8   0.4   1   2   0.00021      0.09   11.2   0.1     2    56    35   101    34   115 0.61 # 225311 # 226279 # 1 # ID=10_146;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
ptg000010l_146       -            323 984717at2            -            224     0.028   12.8   0.4   2   2       1.6   6.7e+02   -1.5   0.0    94   136   174   220   160   241 0.56 # 225311 # 226279 # 1 # ID=10_146;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
ptg000012l_118       -            663 984717at2            -            224     0.043   12.2   0.0   1   3      0.87   3.7e+02   -0.7   0.0     2    20     8    26     7    32 0.86 # 165664 # 167652 # 1 # ID=12_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000012l_118       -            663 984717at2            -            224     0.043   12.2   0.0   2   3      0.27   1.2e+02    1.0   0.0    91   119   108   137    82   149 0.80 # 165664 # 167652 # 1 # ID=12_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000012l_118       -            663 984717at2            -            224     0.043   12.2   0.0   3   3    0.0047         2    6.8   0.0     4    25   453   474   450   582 0.73 # 165664 # 167652 # 1 # ID=12_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000005l_755       -            315 984717at2            -            224     0.054   11.9   1.1   1   1    0.0004      0.17   10.3   1.1     2    25   136   159   135   280 0.77 # 1125610 # 1126554 # 1 # ID=5_755;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.367
ptg000003l_540       -            193 984717at2            -            224     0.068   11.6   0.0   1   1    0.0011      0.45    8.9   0.0     4    83    30   103    28   154 0.77 # 803380 # 803958 # -1 # ID=3_540;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
ptg000004l_61        -           1560 984717at2            -            224     0.078   11.4   3.4   1   3     0.002      0.85    8.0   0.0     2    22   668   688   667   696 0.92 # 101991 # 106670 # 1 # ID=4_61;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
ptg000004l_61        -           1560 984717at2            -            224     0.078   11.4   3.4   2   3       4.2   1.8e+03   -2.9   0.2   177   210   940   973   823   974 0.59 # 101991 # 106670 # 1 # ID=4_61;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
ptg000004l_61        -           1560 984717at2            -            224     0.078   11.4   3.4   3   3     0.059        25    3.2   0.1     2    18  1332  1348  1331  1352 0.86 # 101991 # 106670 # 1 # ID=4_61;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-41-2022/Assembly/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm
# Target file:     /home/inf-41-2022/Assembly/Busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/inf-41-2022/Assembly/Busco/auto_lineage/run_bacteria_odb10/hmmer_output/984717at2.out --cpu 1 /home/inf-41-2022/Assembly/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm /home/inf-41-2022/Assembly/Busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/inf-41-2022/Assembly
# Date:            Thu Feb 23 23:00:42 2023
# [ok]
