# BUSCO version is: 5.4.4 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
911863at2759	Complete	ptg000015l	249356	250555	-	170.3	187
917326at2759	Complete	ptg000005l	818915	820912	+	374.8	429
918816at2759	Complete	ptg000008l	602927	604354	+	104.5	341
919955at2759	Complete	ptg000005l	1302554	1303732	+	228.9	252
923657at2759	Complete	ptg000008l	378602	379768	-	144.9	163
924753at2759	Complete	ptg000011l	86102	87400	-	196.8	232
931188at2759	Complete	ptg000001l	114942	116285	+	312.1	346
937275at2759	Complete	ptg000005l	767210	768541	+	60.9	87
937686at2759	Complete	ptg000005l	191364	192698	+	373.7	340
939345at2759	Complete	ptg000005l	457302	458480	-	80.4	109
944899at2759	Complete	ptg000010l	325855	326802	+	364.0	236
946128at2759	Complete	ptg000005l	1065582	1067507	+	288.9	446
956854at2759	Missing
973442at2759	Complete	ptg000003l	581221	582588	-	87.8	168
974865at2759	Complete	ptg000017l	598629	599660	-	214.7	227
975158at2759	Complete	ptg000009l	150114	151403	-	146.7	231
975557at2759	Complete	ptg000007l	671587	673356	+	376.3	425
976469at2759	Missing
981902at2759	Complete	ptg000013l	482872	484584	+	101.6	218
996662at2759	Complete	ptg000005l	1001264	1002178	+	200.6	206
1001705at2759	Complete	ptg000012l	64181	65458	-	186.7	260
1003258at2759	Complete	ptg000006l	290202	291410	-	272.9	287
1010730at2759	Complete	ptg000014l	521272	522546	-	378.5	288
1014314at2759	Complete	ptg000014l	606609	607874	-	109.3	197
1018517at2759	Complete	ptg000013l	35433	36332	-	299.3	203
1019762at2759	Complete	ptg000003l	852475	854271	-	113.0	387
1025450at2759	Complete	ptg000016l	66635	67927	-	175.0	303
1030907at2759	Complete	ptg000011l	638586	639521	-	246.9	274
1032689at2759	Complete	ptg000006l	566448	567596	+	177.6	156
1038775at2759	Missing
1041560at2759	Complete	ptg000016l	139882	141174	-	197.5	283
1049599at2759	Missing
1051021at2759	Complete	ptg000014l	238126	239769	-	289.7	282
1053181at2759	Missing
1057950at2759	Complete	ptg000006l	298349	299362	-	220.9	233
1065019at2759	Complete	ptg000014l	74861	76045	-	306.4	267
1076134at2759	Complete	ptg000016l	162250	163110	+	204.9	186
1079130at2759	Complete	ptg000002l	700228	701571	-	307.8	250
1079827at2759	Complete	ptg000009l	414648	415430	-	338.1	223
1085752at2759	Complete	ptg000003l	619056	620726	-	161.5	304
1087488at2759	Complete	ptg000016l	264570	266117	-	152.1	249
1090038at2759	Complete	ptg000006l	404990	406216	-	128.2	142
1094121at2759	Complete	ptg000006l	126930	127535	+	101.6	129
1096688at2759	Complete	ptg000006l	174553	175707	+	333.9	211
1106766at2759	Complete	ptg000002l	565272	567011	-	161.6	228
1107630at2759	Complete	ptg000003l	821621	822622	+	257.8	214
1108845at2759	Missing
1111142at2759	Complete	ptg000002l	473669	475615	-	142.5	283
1112002at2759	Complete	ptg000013l	113422	115872	-	397.8	529
1115196at2759	Complete	ptg000003l	283827	285233	-	358.1	277
1128607at2759	Complete	ptg000003l	377723	378748	+	293.7	210
1129824at2759	Complete	ptg000008l	643153	643704	+	88.9	133
1138059at2759	Complete	ptg000010l	124102	124926	+	283.8	206
1157302at2759	Complete	ptg000003l	349694	350428	+	367.4	203
1161199at2759	Complete	ptg000016l	234461	235348	-	32.7	130
1173229at2759	Complete	ptg000003l	68527	70002	-	64.0	182
1178688at2759	Complete	ptg000005l	1038696	1039331	-	97.2	140
1182451at2759	Complete	ptg000011l	285598	286788	-	123.5	156
1193442at2759	Complete	ptg000002l	707785	709233	-	288.4	310
1194691at2759	Complete	ptg000003l	199022	200308	-	299.3	296
1194797at2759	Complete	ptg000011l	1010552	1012840	-	305.8	456
1197019at2759	Complete	ptg000006l	370358	370945	-	150.5	157
1200489at2759	Complete	ptg000014l	562095	562970	-	102.5	108
1217666at2759	Complete	ptg000004l	169931	170680	-	203.8	151
1220881at2759	Complete	ptg000003l	270623	271636	-	97.3	170
1222562at2759	Complete	ptg000011l	338244	339182	-	160.4	115
1223488at2759	Complete	ptg000011l	260143	260880	+	59.9	77
1228942at2759	Complete	ptg000001l	20684	21481	+	190.4	163
1233814at2759	Complete	ptg000015l	120425	121389	+	147.5	165
1236198at2759	Complete	ptg000010l	106824	107294	-	157.1	123
1247641at2759	Complete	ptg000008l	169809	171635	+	136.1	262
1248958at2759	Complete	ptg000008l	1062606	1065485	-	576.5	616
1249159at2759	Complete	ptg000005l	473620	474243	+	115.0	154
1251252at2759	Complete	ptg000015l	219915	220799	-	72.1	84
1257440at2759	Complete	ptg000009l	167629	168162	-	155.2	128
1258856at2759	Complete	ptg000003l	473143	475536	-	339.7	586
1259741at2759	Complete	ptg000005l	1110105	1111337	+	389.1	226
1260807at2759	Complete	ptg000003l	717056	718441	+	239.1	205
1264469at2759	Complete	ptg000005l	838651	839655	+	166.6	146
1266231at2759	Complete	ptg000013l	57736	58491	+	277.4	187
1269244at2759	Complete	ptg000005l	748065	748859	+	74.0	112
1269649at2759	Complete	ptg000011l	600536	601357	-	274.0	165
1275837at2759	Complete	ptg000011l	811105	812118	-	346.4	257
1284731at2759	Complete	ptg000011l	56197	56916	+	93.2	114
1287094at2759	Complete	ptg000007l	393467	394129	-	121.0	127
1287401at2759	Complete	ptg000003l	640182	641081	-	242.9	162
1291729at2759	Complete	ptg000011l	49503	50084	+	55.4	106
1304061at2759	Complete	ptg000014l	548188	548805	-	173.1	129
1309031at2759	Complete	ptg000004l	323750	325699	-	208.5	365
1312453at2759	Complete	ptg000002l	425875	430236	+	516.2	732
1314980at2759	Complete	ptg000004l	357743	360319	+	279.1	445
1322299at2759	Complete	ptg000005l	1384799	1386205	-	212.4	297
1322642at2759	Duplicated	ptg000012l	92361	93557	+	145.7	142
1322642at2759	Duplicated	ptg000011l	243109	244248	-	142.5	156
1323575at2759	Complete	ptg000003l	277275	277802	-	152.2	113
1324510at2759	Complete	ptg000005l	1207340	1208818	+	240.4	242
1338131at2759	Complete	ptg000005l	1130471	1131037	-	238.9	139
1339553at2759	Complete	ptg000013l	585552	586733	+	204.8	296
1342242at2759	Complete	ptg000006l	95426	96916	-	131.4	180
1346165at2759	Complete	ptg000016l	72107	73333	+	291.7	275
1346432at2759	Complete	ptg000017l	262847	263596	-	111.8	186
1348942at2759	Complete	ptg000007l	311006	312103	+	88.3	153
1355894at2759	Complete	ptg000003l	148263	148847	+	166.2	139
1358374at2759	Complete	ptg000011l	494134	495168	+	244.6	204
1364586at2759	Complete	ptg000011l	334153	334914	+	103.6	167
1370285at2759	Complete	ptg000014l	225955	228471	+	153.3	374
1370304at2759	Complete	ptg000009l	55315	57513	-	165.8	404
1377237at2759	Complete	ptg000003l	294391	295458	-	136.0	143
1379600at2759	Complete	ptg000006l	367749	370214	+	225.0	481
1380409at2759	Complete	ptg000007l	513191	513814	-	150.4	143
1382842at2759	Complete	ptg000006l	452740	453378	+	102.4	116
1395649at2759	Complete	ptg000007l	159991	160524	+	48.9	119
1398309at2759	Complete	ptg000010l	61975	62520	+	59.3	91
1404162at2759	Complete	ptg000002l	351432	353291	-	143.6	224
1405073at2759	Complete	ptg000003l	788760	789302	-	225.8	158
1405146at2759	Complete	ptg000016l	102757	103416	+	103.0	136
1407446at2759	Complete	ptg000004l	246141	246683	-	43.1	86
1421503at2759	Complete	ptg000003l	730016	730639	-	166.2	108
1423847at2759	Complete	ptg000011l	308556	309656	+	227.6	257
1426075at2759	Complete	ptg000002l	718518	719042	-	68.0	99
1428265at2759	Complete	ptg000003l	794377	795381	-	154.0	207
1428854at2759	Complete	ptg000003l	190843	193503	+	375.9	506
1430056at2759	Complete	ptg000017l	182970	183605	-	110.9	124
1432328at2759	Complete	ptg000014l	137828	138757	+	220.1	189
1434266at2759	Complete	ptg000005l	1411363	1412244	+	93.5	152
1440961at2759	Complete	ptg000011l	1022031	1023233	+	37.2	153
1441854at2759	Complete	ptg000006l	176079	177053	+	233.7	279
1442062at2759	Complete	ptg000014l	375380	376858	-	98.0	207
1445102at2759	Complete	ptg000003l	47146	47946	-	179.2	190
1450538at2759	Complete	ptg000013l	50785	51774	-	82.7	139
1454155at2759	Complete	ptg000005l	1364162	1365124	+	70.9	118
1455730at2759	Fragmented	ptg000012l	135993	137126	+	131.6	258
1459797at2759	Complete	ptg000014l	431844	432230	+	75.8	95
1474000at2759	Complete	ptg000003l	572134	572955	+	82.2	172
1479417at2759	Complete	ptg000011l	908010	908648	+	207.9	186
1488235at2759	Complete	ptg000005l	163914	164504	-	161.7	138
1488436at2759	Complete	ptg000003l	36904	37347	-	121.5	62
1490022at2759	Complete	ptg000006l	289370	289963	-	165.7	170
1504863at2759	Complete	ptg000005l	934805	935461	+	108.7	125
1513531at2759	Complete	ptg000006l	222410	223114	-	151.2	190
1525971at2759	Complete	ptg000002l	652604	653161	+	91.8	79
1526152at2759	Missing
1530008at2759	Complete	ptg000015l	283598	284212	-	132.9	88
1538526at2759	Complete	ptg000005l	87969	88436	+	140.2	93
1545004at2759	Duplicated	ptg000006l	565630	565881	+	70.3	63
1545004at2759	Duplicated	ptg000006l	281682	282008	-	69.9	72
1552706at2759	Complete	ptg000007l	53097	53915	-	86.1	91
1558822at2759	Complete	ptg000009l	457520	457798	+	83.6	65
1563319at2759	Missing
1567796at2759	Complete	ptg000008l	456753	457349	+	124.0	132
1575179at2759	Complete	ptg000017l	193081	193413	+	27.9	43
1576404at2759	Complete	ptg000005l	763762	764286	+	61.8	142
1588798at2759	Complete	ptg000017l	582069	583112	-	81.8	91
1593937at2759	Complete	ptg000008l	833745	835094	+	48.3	125
1617752at2759	Complete	ptg000008l	479297	479602	+	114.6	93
1620056at2759	Complete	ptg000003l	212552	212971	-	44.8	71
1623701at2759	Complete	ptg000008l	1051398	1051967	+	97.4	91
1626636at2759	Fragmented	ptg000005l	285039	285620	-	56.7	80
1633672at2759	Fragmented	ptg000013l	542130	542396	-	105.6	81
1645187at2759	Complete	ptg000007l	385018	385452	-	32.9	36
